t,x,u
0.00000000,4.55899090,-0.98825757
0.00000000,4.56512682,-0.98917651
0.00000000,4.57126275,-0.99005821
0.00000000,4.57739867,-0.99090264
0.00000000,4.58353459,-0.99170975
0.00000000,4.58967052,-0.99247953
0.00000000,4.59580644,-0.99321195
0.00000000,4.60194236,-0.99390697
0.00000000,4.60807829,-0.99456457
0.00000000,4.61421421,-0.99518473
0.00000000,4.62035013,-0.99576741
0.00000000,4.62648606,-0.99631261
0.00000000,4.63262198,-0.99682030
0.00000000,4.63875790,-0.99729046
0.00000000,4.64489383,-0.99772307
0.00000000,4.65102975,-0.99811811
0.00000000,4.65716567,-0.99847558
0.00000000,4.66330160,-0.99879546
